iter	Passed	Remaining
0	170	204739
1	182	109269
2	210	83935
3	233	69787
4	254	60899
5	277	55260
6	300	51216
7	333	49682
8	355	47050
9	380	45268
10	403	43642
11	447	44342
12	469	42867
13	494	41877
14	514	40660
15	533	39493
16	553	38483
17	573	37649
18	592	36841
19	612	36149
20	632	35495
21	651	34866
22	670	34332
23	689	33784
24	714	33559
25	733	33110
26	752	32675
27	771	32272
28	789	31867
29	808	31524
30	829	31281
31	848	30979
32	867	30691
33	887	30428
34	906	30170
35	925	29918
36	947	29766
37	966	29550
38	985	29331
39	1004	29131
40	1023	28923
41	1041	28724
42	1060	28531
43	1081	28413
44	1106	28391
45	1125	28241
46	1143	28063
47	1163	27913
48	1182	27768
49	1204	27703
50	1223	27557
51	1241	27416
52	1260	27281
53	1279	27162
54	1301	27104
55	1321	26990
56	1341	26895
57	1360	26796
58	1381	26707
59	1399	26594
60	1418	26489
61	1440	26438
62	1460	26352
63	1478	26248
64	1497	26145
65	1515	26043
66	1534	25944
67	1552	25850
68	1571	25759
69	1590	25676
70	1609	25591
71	1628	25510
72	1646	25421
73	1671	25426
74	1689	25347
75	1708	25264
76	1727	25196
77	1746	25118
78	1765	25055
79	1784	24979
80	1803	24909
81	1821	24834
82	1840	24772
83	1859	24703
84	1880	24666
85	1900	24620
86	1919	24553
87	1938	24491
88	1956	24424
89	1975	24360
90	1994	24300
91	2012	24236
92	2031	24176
93	2050	24121
94	2072	24112
95	2092	24059
96	2111	24008
97	2130	23952
98	2148	23895
99	2167	23839
100	2187	23798
101	2206	23750
102	2224	23694
103	2244	23657
104	2264	23615
105	2286	23603
106	2308	23582
107	2329	23549
108	2349	23513
109	2368	23468
110	2387	23424
111	2409	23406
112	2430	23383
113	2449	23335
114	2468	23290
115	2487	23246
116	2506	23200
117	2525	23153
118	2543	23109
119	2562	23062
120	2581	23020
121	2600	22973
122	2619	22935
123	2638	22895
124	2658	22865
125	2680	22850
126	2716	22949
127	2744	22986
128	2766	22971
129	2792	22987
130	2812	22953
131	2832	22914
132	2851	22877
133	2870	22832
134	2891	22810
135	2910	22770
136	2929	22730
137	2948	22690
138	2966	22646
139	2985	22603
140	3003	22557
141	3022	22516
142	3040	22473
